Unnamed: 0,filename,title,authors,affiliations,Manual_answer,GPT_answer,Similarity of Total Text,Similarity of Name,Similarity of Synthesis,Similarity of BET,Similarity of CCDC,Similarity of Topology,Similarity of Monomer,Similarity of Monomer of Synthesis
0,E:\liuming\cage-GPT\CSV_file\level1\2008---Chem Comm.csv,One-pot synthesis of a shape-persistent endo-functionalised nano-sized adamantoid compound,Michael Mastalerz,"Ulm University, Institute of Organic Chemistry II and AdvancedMaterials, Albert-Einstein-Allee 11, D-89081 Ulm, Germany","cage compound 3|[4+6]|None|None|A solution of 120(150 mg, 0.50 mmol) and 2(156 mg,0.75 mmol) in dry THF (30 mL) was stirred for 7 d at roomtemperature. The orange precipitate was collected on a Buchnerfunnel, washed with THF (3 /C24 mL) and dried in vacuo to give160 mg (58%) of cage compound 3as an orange solid|1|None|2|None","|Endo-functionalised adamantoid nanocage compound 3|None|None|None|Synthesis of 3: A solution of 120 (150 mg, 0.50 mmol) and 2 (156 mg, 0.75 mmol) in dry THF (30 mL) was stirred for 7 d at room temperature. The orange precipitate was collected on a Buchner funnel, washed with THF (3 x 24 mL) and dried in vacuo to give 160 mg (58%)|Triamine 1|None|Salicylic dialdehyde 2|None|",0.925,0.875,0.936,1,1,0.597,0.838,1
1,E:\liuming\cage-GPT\CSV_file\level1\2008-Eur J Org Chem -Ferrini.csv,Synthesis of Isoxazolopyridobicyclooxacalix[4]arenes: A New Family of Heteracalixarene Systems,"Serena Ferrini,[a] Stefania Fusi,[a] Gianluca Giorgi,[a] and Fabio Ponticelli*[a]","Dipartimento di Chimica, Universit   degli Studi di Siena,Via A. Moro, 53100 Siena, Italy","Isoxazolopyridobicyclooxacalix[4]arenes|[2+3]|668972|None|A solution of phloroglu-cinol (1 m ?, 126 mg) in DMSO (5 mL) and different amounts ofDBU (2 mmol, 0.3 mL or 3 mmol, 0.45 mL; Scheme 1) was stirred atroomtemperaturefor0.5 h.4,6-Dichloro-3-methylisoxazolo[4,5- c]-pyridine ( 1) in different molar ratios (2 mmol, 406 mg or 3 mmol,609 mg or 1.5 mmol, 305 mg; Scheme 1) was dissolved in DMSO(5 mL) and added to the solution. The final solution was heated atdifferent temperatures (20, 60, 120 ⊥) for different times (14, 3,18 h) according to Scheme 1. The reaction mixture was poured intoan ice water mixture and repeatedly extracted with ethyl acetate(3/H1100320 mL), washed with water and dried with Na2SO 4; the sol-vents were then evaporated under vacuum. The residue was puri-fied by flash chromatography to give compounds 2 C6and 8and 9.|phloroglu-cinol|None|4,6-Dichloro-3-methylisoxazolo[4,5- c]-pyridine|None","| Isoxazolopyridobicyclooxacalix[4]arenes | ""[4+6]: A new family of isoxazolopyridobicyclooxacalix[4]arenes was obtained by reaction of dichloroisoxazolopyridines with phloroglucinol."" | CCDC-668972    | None                  | Condensation of a pyridine system | Phloroglucinol | ""A solution of phloroglucinol (1 mmol, 126 mg) in DMSO (5 mL) and different amounts of DBU (2 mmol, 0.3 mL or 3 mmol, 0.45 mL; Scheme 1) was stirred at room temperature for 0.5 h. 4,6-Dichloro-3-methylisoxazolo[4,5-c]-pyridine (1) in different molar ratios (2 mmol, 406 mg or 3 mmol, 609 mg or 1.5 mmol, 305 mg; Scheme 1) was dissolved in DMSO (5 mL) and added to the solution. The final solution was heated at different temperatures (20, 60, 120 ～C) for different times (14, 3, 18 h) according to Scheme 1. The reaction mixture was poured into an ice 每water mixture and repeatedly extracted with ethyl acetate (3x20 mL), washed with water and dried with Na2SO4; the solvents were then evaporated under vacuum. The residue was purified by flash chromatography to give compounds 2每6 and 8 and 9."" | 4,6-Dichloro-3-methylisoxazolo[4,5-c]pyridine | ""A solution of 3,5-dimethoxyphenol (0.154 g, 1 mmol) in DMSO (3 mL) and DBU (1 mmol) was stirred at room temperature for 0.5 h. 4,6-Dichloro-3-methylisoxazolo[4,5-c]pyridine (1; 0.203 g, 1 mmol) dissolved in DMSO (3 mL) was added, and the solution was kept at room temperature for 3 h. The reaction mixture was poured into an ice每water mixture and repeatedly extracted with ethyl acetate, washed with water and dried with Na2SO4; the solvents were then evaporated under vacuum to give compound 7 (288 mg, 90%) as a white solid that was purified by recrystallization from cyclohexane. M.p. 109每111～C."" |",0.918,1,0.616,1,0.963,0.817,0.977,0.649
2,E:\liuming\cage-GPT\CSV_file\level1\2010-Chemistry A European J - Wang - Versatile Anion Interactions between Halides and a Conformationally Rigid Bis-.csv,Versatile Anion Cp Interactions between Halides and a Conformationally Rigid Bis(tetraoxacalix[2]arene[2]triazine) Cage and Their Directing Effect on Molecular Assembly,"De-Xian Wang,*[a]Qi-Qiang Wang,[a]Yuchun Han,[b]Yilin Wang,*[b]Zhi-Tang Huang,[a]and Mei-Xiang Wang*","Beijing National Laboratory for Molecular SciencesCAS Key Laboratory of Molecular Recognition and FunctionInstitute of Chemistry, Chinese Academy of SciencesBeijing 100190 (P . R. China);Beijing National Laboratory for Molecular SciencesCAS Key Laboratory of Colloid and Interface ScienceInstitute of Chemistry, Chinese Academy of SciencesBeijing 100190 (P . R. China);The Key Laboratory of Bioorganic Phosphorus Chemistry &Chemical Biology (Ministry of Education)Department of Chemistry, Tsinghua UniversityBeijing 100084 (P . R. China)","cage molecule 4|[2+3]|734866, 734867, 734868|None|Solutions of 1(0.126 g, 1 mmol) in ace-tone (50 mL) and 3(0.57 g, 1 mmol) in acetone (50 mL) were addeddropwise at the some rate to a solution of DIPEA (0.464 g, 3.6 mmol) inacetone (100 mL) over a period of 4 h at room temperature. After addi-tion, the resulting mixture was kept stirring at room temperature for an-other 2.5 days. The solvent was removed and the residue was subjectedto chromatography on a silica gel (100 C200 mesh) column eluting with amixture of petroleum ether and acetone. Pure cage molecule 4was ob-tained as a white solid (yield: 35%).|phloroglucinol|None|intermediate 3|A mixture of phloroglucinol 1(0.63 g, 5 mmol) andDIPEA (2.42 g, 18.8 mmol) in THF (30 mL) was added dropwise over aperiod of 20 min to an ice-cooled and well-stirred solution of cyanuricchloride 2(4.15 g, 22.5 mmol) in THF (50 mL). The resulting mixture,which contained the precipitates formed from the reaction, was keptACHTUNGTRENNUNGstirring for another 3 h at 08C. After filtration and concentration, the res-idue was subjected to chromatography on a silica gel (100 C200 mesh)column eluting with a mixture of petroleum ether and acetone. Pureproduct 3was obtained as a white solid (yield: 75%).","|bis(tetraoxacalix[2]arene[2]triazine) (4)|None|CCDC-734866|None|Preparation of cage molecule 4: Solutions of 1(0.126 g, 1 mmol) in acetone (50 mL) and 3(0.57 g, 1 mmol) in acetone (50 mL) were added dropwise at the same rate to a solution of DIPEA (0.464 g, 3.6 mmol) in acetone (100 mL) over a period of 4 h at room temperature. After addition, the resulting mixture was kept stirring at room temperature for another 2.5 days. The solvent was removed and the residue was subjected to chromatography on a silica gel (100每200 mesh) column eluting with a mixture of petroleum ether and acetone. Pure cage molecule 4 was obtained as a white solid (yield: 35%). M.p. >300～C; 1H NMR (CDCl3, 300 MHz): d = 6.69 ppm (s, 6H); 13C NMR (CDCl3, 75 MHz): d = 175.1, 172.7, 153.1 ppm; IR (KBr) n = 1614, 1550 cm?1; MS (EI): m/z(%): 591(4), 590 (28), 589 (28), 588 (19), 587 (96), 586 (22), 585 (100) [M]+; HR-MS: m/z calcd for C21H6N9O6Cl3: 584.9507; found: 584.0513.|phloroglucinol (1)|Preparation of 3: A mixture of phloroglucinol 1(0.63 g, 5 mmol) and DIPEA (2.42 g, 18.8 mmol) in THF (30 mL) was added dropwise over a period of 20 min to an ice-cooled and well-stirred solution of cyanuric chloride 2(4.15 g, 22.5 mmol) in THF (50 mL). The resulting mixture, which contained the precipitates formed from the reaction, was kept stirring for another 3 h at 0～C. After filtration and concentration, the residue was subjected to chromatography on a silica gel (100每200 mesh) column eluting with a mixture of petroleum ether and acetone. Pure product 3 was obtained as a white solid (yield: 75%). M.p. 240每1428～C; 1H NMR (CDCl3, 300 MHz): d = 7.17 ppm (s, 3H); 13C NMR (CDCl3, 75 MHz): d = 173.5, 170.4, 151.7, 113.8 ppm; IR (KBr) n = 1613,1530 cm?1; MS (EI): m/z(%): 573 (4), 571 (8), 569 (10), 567 (5) [M]+, 538 (17), 537 (10), 536 (57), 535 (12), 534 (100), 533 (10), 532 (57); elemental analysis calcd (%) for C15H3N9O3Cl6: C 31.63, H 0.53, N 22.12; found: C 31.74, H 0.84, N 22.22.|cyanuric chloride (2)|None|",0.907,0.754,0.939,1,0.821,0.606,0.926,0.935
3,E:\liuming\cage-GPT\CSV_file\level1\2011----Chem Comm---Selective Gas Sorption in a [2+3] Propeller Cage Crystal.csv,Selective Gas Sorption in a [2+3]   Propeller   Cage Crystal,"Shan Jiang, John Bacsa, Xiaofeng Wu, James T. A. Jones, Robert Dawson, Abbie Trewin,Dave J. Adams and Andrew I. Cooper*","Department of Chemistry and Centre for Materials Discovery,University of Liverpool, Crown Street, Liverpool, L69 7ZD, UK.","CC6|[2+3]|821249|N2 sorption measurements at 77 K showed a predominantly Type I isotherm (Fig. 2) with a total uptake of 1.5 mmol/g and a modest apparent BET surface areaof 99 m2/g.|Methanol (20 mL) was added to 1,3,5 -tri-(4-formylphenyl) benzene (50 mg, 0.128mmol) in a sample vial at room temperature. A solution of 1,5 -pentanediamine (20 mg, 0.192 mmol) in MeOH (20 mL) was added slowly. The reaction was left covered for 3 -4 days without stirring. The products were observed to crystallize from solution after a week. The crystals were separated carefully from the sample vial using a spatula and washed with MeOH and air dried to give the solvated of [2+3] cage.|1,3,5 -tri-(4-formylphenyl) benzene|An oven -dried 150 mL, two -necked round -bottom Ra dley flask equipped with a magnetic stir bar was flushed with N 2 gas and cooled to room temperature under a N 2 flow. Tribromobenz ene (1 g, 3.18 mmol), 4 -formylphenylboronic acid (1.72 g, 11.5 mmol), Pd(OAc) 2 (3 m g, 0.013 mmol) , and PPh 3 (6 mg, 0.026 mmol) were added. After degassing this mixture three times , 1-propanol (20 mL) was added under N 2. The solution was left stirring at 50   C until all of the solids dissolved. Once the clear solution turned to pale yellow ( ca. 15 min), a solution o f Na 2CO 3 (2M, 6 mL) and water (5 mL) were added under N 2. The result ing mixture was then heated to reflux for 2 h under N 2. The nitrogen sources were removed after reflux and another portion of water (20 mL) was added. The reaction mixture was left under s tirring, open to the air for 5 h at room temperature. The mixture was then extracted with chloroform (30 mL) and the organic layers were washed with a 2% solution of NaHCO 3 (25 mL). A spoonful of activated charcoal was added into the organic solution and t he mixture was stirred for 30 min at room temperature . The suspension was filtered through celite under reduced pressure. Evaporation of the solvent gave the crude product. The pure product was obtain ed after column chromatography with 70 % yield , or recry stallized from THF with 65 % yield.|1,5 -pentanediamine|None","| CC6                               | A [2+3] organic cage compound based on the condensation reaction of 1,3,5-tri(4-formylphenyl)benzene with 1,5-pentanediamine was synthesized. The resulting porous molecular crystal demonstrates selective adsorption of hydrogen and carbon dioxide over nitrogen. As for porous polymer membranes, a trade-off between sorption capacity and selectivity is observed for materials in this class. | CCDC 821249 | CC6 is stable under these conditions, with no apparent loss of crystallinity (Fig S6 w). N2 sorption measurements at 77 K showed a predominantly Type I isotherm (Fig. 2) with a total uptake of 1.5 mmol g?1 and a modest apparent BET surface area of 99 m2g?1. This is substantially lower than the [4+6] imine-based cages reported previously because CC6 exhibits only extrinsic porosity (between cages) and no intrinsic porosity (within the cages). | Methanol (20 mL) was added to 1,3,5-tri-(4-formylphenyl) benzene (50 mg, 0.128 mmol) in a sample vial at room temperature. A solution of 1,5-pentanediamine (20 mg, 0.192 mmol) in MeOH (20 mL) was added slowly. The reaction was left covered for 3-4 days without stirring. The products were observed to crystallize from solution after a week. The crystals were separated carefully from the sample vial using a spatula and washed with MeOH and air dried to give the solvated [2+3] cage. | 1,3,5-Tri-(4-formylphenyl) benzene | Tribromobenzene (1 g, 3.18 mmol), 4-formylphenylboronic acid (1.72 g, 11.5 mmol), Pd(OAc)? (3 mg, 0.013 mmol), and PPh? (6 mg, 0.026 mmol) were added. After degassing this mixture three times, 1-propanol (20 mL) was added under N?. The solution was left stirring at 50～C until all solids dissolved. Once the clear solution turned pale yellow (ca. 15 min), a solution of Na?CO? (2M, 6 mL) and water (5 mL) were added under N?. The mixture was then heated to reflux for 2 h under N?. The nitrogen sources were removed after reflux and another portion of water (20 mL) was added. The reaction mixture was left stirring, open to the air for 5 h at room temperature. The mixture was then extracted with chloroform (30 mL) and the organic layers were washed with a 2% solution of NaHCO? (25 mL). Activated charcoal was added, stirred for 30 min, filtered through celite under reduced pressure, and the crude product was obtained after evaporation of the solvent. The pure product was obtained after column chromatography with a 70% yield, or recrystallized from THF with 65% yield. | 1,5-Pentanediamine | None |",0.897,1,0.996,0.951,0.96,0.835,1,0.911
4,E:\liuming\cage-GPT\CSV_file\level1\2012 ---Chem. Commun---A shape-persistent exo-functionalized [4 + 6] imine cage.csv,A shape-persistent exo-functionalized [4+6] imine cage compound with a very high specific surface area,"Markus W. Schneider,aHans-Jochen Siegfried Hauswald,bRaphael StollbandMichael Mastalerz*a","aInstitute of Organic Chemistry II & Advanced Materials,Ulm University, 89081 Ulm, Germany.bRUBiospek, Ruhr-University of Bochum, 44780 Bochum, Germany","cage compound 5|[4+6]|None|Theamorphous material derived from this compound has a surfacearea of 1037 m2g/C01, which is the highest reported speci?c surfacearea among amorphous materials consisting of discrete organicmolecules exclusively.|2,7,14-Triaminotriptycene (109.8 mg, 0.37 mmol) and 4,6-Dihydroxy-5-methyl-1,3-diformyl benzene (98.8 mg, 0.55 mmol) were dissolved in dimethylformamide (52 mL) under argon and TFA (4.4 μL, 2 mol%) was added. The solution was refluxed for 4 d at 110 oC. Af ter cooling the reaction mixtur e to room temperature, the solid was collected by filtration, washed with DMF (3 x 5 mL) and immersed in THF (10 mL, three times for 8 h). After removing of the solvent and drying under vacuum, 120 mg (63%) of cage compound 5 were obtained as orange solid.|2,7,14-Triaminotriptycene|None|4,6-Dihydroxy-5-methyl-1,3-diformyl benzene|None","|exo-functionalized [4 + 6] imine cage compound 5 | ""Here, we will present a new type of exo-functionalized [4 + 6] cage compound (5, Scheme 1), with a very high specific surface area in its amorphous state."" | None | ""To conclude, we introduced a new type of exo-functionalized [4+6] cage compound, which was synthesized in 68% yield. The amorphous material derived from this compound has a surface area of 1037 m2g/C01, which is the highest reported specific surface area among amorphous materials consisting of discrete organic molecules exclusively."" | ""Synthesis of cage compound 5: 2,7,14-Triaminotriptycene (109.8 mg, 0.37 mmol) and 4,6-Dihydroxy-5-methyl-1,3-diformyl benzene (98.8 mg, 0.55 mmol) were dissolved in dimethylformamide (52 mL) under argon and TFA (4.4 米L, 2 mol%) was added. The solution was refluxed for 4 d at 110 oC. After cooling the reaction mixture to room temperature, the solid was collected by filtration, washed with DMF (3 x 5 mL) and immersed in THF (10 mL, three times for 8 h). After removing of the solvent and drying under vacuum, 120 mg (63%) of cage compound 5 were obtained as orange solid."" | 2,7,14-Triaminotriptycene | ""None"" | 4,6-Dihydroxy-5-methyl-1,3-diformyl benzene |None",0.918,0.922,0.973,0.885,1,0.859,1,0.955
5,E:\liuming\cage-GPT\CSV_file\level1\2012---ChemistryAEuropeanJ---Warmuth.csv,"Assembly of Water-Soluble, Dynamic, Covalent, Container Molecules and Their Application in the Room-Temperature Stabilization of Protoadamantene","Zhihua Lin, Junling Sun, Bisera Efremovska, and Ralf Warmuth*","Department of Chemistry & Chemical BiologyRutgers, The State University of New Jersey610 Taylor Road, Piscataway, NJ 08854 (USA)","hemicarceplex 1a""1,4-dimethoxybenzene|[2+4]|None|None|Cavitand 2 (0.002 mmol, 2.7mg) was dissolved in 550 μL D2O in an NMR tube. 1,4-Dimethoxylbenzene (1mg) was added and the mixture was shaken for several minutes.  Ethylen-1,2 diamine 3a (44 米L of 0.1 M solution) was added. The reaction solution was shaken for several minutes and allowed to stand overnight at room temperature after which an equilibrium is reached containing 81% 1a""1,4-dimethoxybenzene by NMR integration.|Cavitand 2|Cavitand 10 (0.210 g, 0.224 mmol) was dried in high vacuum for 2h and dissolved under Argon in 2 mL of dry DMSO containing several beads of molecular sieves. Py!SO3 (0.285 g, 1.80 mmol) was added and the reaction solution was stirred under Argon for 15min. The reaction mixture was quenched with 20 mL of water and was adjust pH~8 with Na2CO3 aq.. The solvent was removed in high vacuum. The solid residue was suspended in 1.5 mL of DMSO, sonicated and filtered to remove the salts. The resulting solution was added drop-wise with stirring to 50 mL CH3CN upon which 2 crystallized. 0.22 g of 2 were isolated by filtration as a white solid (73% yield).|Ethylen-1,2 diamine 3a|None","| hemicarceplex 1a | ""the thermodynamically controlled reactions of water-soluble tetra-formylcavitand 2 with two equivalents of H2N-(CH2)n-NH2 (n=2每4)"" | None | None | ""Cavitand 2 (0.002 mmol, 2.7 mg) was dissolved in 550 米L D2O in an NMR tube. 1,4-Dimethoxylbenzene (1 mg) was added and the mixture was shaken for several minutes. Ethylen-1,2 diamine 3a (44 米L of 0.1 M solution) was added. The reaction solution was shaken for several minutes and allowed to stand overnight at room temperature after which an equilibrium is reached containing 81% 1a-1,4-dimethoxybenzene by NMR integration."" | Cavitand 2 | ""Cavitand 10 (0.210 g, 0.224 mmol) was dried in high vacuum for 2h and dissolved under Argon in 2 mL of dry DMSO containing several beads of molecular sieves. Py-SO3 (0.285 g, 1.80 mmol) was added and the reaction solution was stirred under Argon for 15min. The reaction mixture was quenched with 20 mL of water and was adjusted to pH~8 with Na2CO3 aq. The solvent was removed in high vacuum..."" | Ethylen-1,2 diamine | None |",0.932,0.729,0.985,1,1,0.793,0.982,0.919
6,E:\liuming\cage-GPT\CSV_file\level1\2013---Chem comm----Self-assembly of a covalent organic cage.csv,Self-assembly of a covalent organic cage with exceptionally large and symmetrical interior cavity: the role of entropy of symmetry,"Pawe? Skowronek*, Beata War ?ajtis, Urszula Rychle wska*, Jacek Gawro   ski","aDepartment of Chemistry, A. Mickiewicz University, Poznan   , Poland.bDepartment of Chemistry, A. Mickiewicz University, Poznan   , Poland.","cage 3|[8+12]|909668|None|Synthesis of cage 3 was performed by mixing solutions of triamine 2 (72 mg, 0.56 mmol) in a mixture of CH 2Cl2 (4 ml) and MeOH (3 ml) and dialdehyde 1 (172 mg, 0.83 mmol) in CH 2Cl2 (4 ml). After 24 h at room temperature clear solution was evaporated at low temperature and obtained solid was analyzed.|triamine 2|None|dialdehyde 1|None","|cuboctahedral imine cage|An exceptionally large size cuboctahedral imine cage is obtained from small size organic molecules in a thermodynamically driven [8+12] cyclocondensation.|CCDC 909668|None|Synthesis of cage 3 was performed by mixing solutions of triamine 2 (72 mg, 0.56 mmol) in a mixture of CH2Cl2 (4 ml) and MeOH (3 ml) and dialdehyde 1 (172 mg, 0.83 mmol) in CH2Cl2 (4 ml). After 24 h at room temperature clear solution was evaporated at low temperature and obtained solid was analyzed.|triamine 2|None|dialdehyde 1|None|",0.954,0.728,0.995,1,0.967,0.858,1,1
7,E:\liuming\cage-GPT\CSV_file\level1\2013-hu-et-al-a-trigonal-prismatic-ligand-in-the-metal-mediated-self-assembly-of-one-and-two-dimensional.csv,A Trigonal Prismatic Ligand in the Metal-Mediated Self-Assembly of 1D and 2D Metallosupramolecular Polymers,"Wen-Jing Hu,?Long-Qing Liu,?Ming-Liang Ma, *,?Xiao-Li Zhao,  Yahu A. Liu,?Xian-Qiang Mi,?Biao Jiang, *,?and Ke Wen *","Sustainable Technology Research Center, Shanghai Advanced Research Institute, Chinese Academy of Science, Shanghai 201210,China?Shanghai Engineering Research Center of Molecular Therapeutics and New Drug Development, East China Normal University,Shanghai 200062, China  Shanghai Key Laboratory of Green Chemistry and Chemical Processes, and Department of Chemistry, East China NormalUniversity, Shanghai 200062, China?Medicinal Chemistry, ChemBridge Research Laboratories Inc., San Diego, California 92127, United States*","bicyclo-oxacalix[2]benzene[3]pyrazine L|[2+3]|None|None|A mixture of benzene-1,3,5-triol (5.0 g, 39.7 mmol)  and 2,6-dichloropyrazine (8.9 g, 59.5 mmol) in DMSO (200 ml) was stirred and heat ed to 85  C. Cs2CO 3 (19.4 g, 59.5 mmol) was added in portions within 3.5 h. Afte r the addition, the mixture was kept at this temperature for 30 min. The resultant solution was poured into 600 mL ice water, extracted by EtOAc (4 x 50 mL) and washed wi th brine. The organic extracts were dried with anhydrous Na 2SO 4. After removal of the solvent, the residue was purified by column chromatography (petroleum ether/  EtOAc, 4/1) to afford L as white powder (1.4g, 14.9%).|benzene-1,3,5-triol|None|2,6-dichloropyrazine|None","|[Ag2(L3)2]|""the rhomboidal [ Ag2(L3)2](L3: tridentate ligand)""|None|None|To a 5 mL vial L (2.2 mg, 0.0046 mmol) dissolved in benzene (1 ml) was added first, a blank solution of 3 ml benzene and acetonitrile (1:1) was then layered on top of the L solution, and finally, AgBF4 (6.0 mg, 0.031mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solution. X-ray quality single crystals of silver-containing complex 1 were obtained by slow evaporation of the above solution in air and under DMF atmosphere at room temperature.|L|A mixture of benzene-1,3,5-triol (5.0 g, 39.7 mmol) and 2,6-dichloropyrazine (8.9 g, 59.5 mmol) in DMSO (200 ml) was stirred and heated to 85～C. Cs2CO3 (19.4 g, 59.5 mmol) was added in portions within 3.5 h. After the addition, the mixture was kept at this temperature for 30 min. The resultant solution was poured into 600 mL ice water, extracted by EtOAc (4 x 50 mL) and washed with brine. The organic extracts were dried with anhydrous Na2SO4. After removal of the solvent, the residue was purified by column chromatography (petroleum ether/EtOAc, 4/1) to afford L as white powder (1.4g, 14.9%)|AgBF4|None|",0.917,0.688,0.8,1,1,0.783,0.585,0.838
8,E:\liuming\cage-GPT\CSV_file\level1\2014---CC13---JACS.csv,Controlling the Crystallization of Porous Organic Cages: Molecular Analogs of Isoreticular Frameworks Using Shape-Specific Directing Solvents,"Tom Hasell, *,?Jamie L. Culshaw,?Samantha Y. Chong,?Marc Schmidtmann,?Marc A. Little,?Kim E. Jelfs,?,  Edward O. Pyzer-Knapp,  Hilary Shepherd,?Dave J. Adams,?Graeme M. Day,?and Andrew I. Cooper *","Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown St., Liverpool L69 7ZD, UnitedKingdom?School of Chemistry, University of Southampton, High ?eld, Southampton, SO17 1BJ, United Kingdom  Department of Chemistry, University of Cambridge, Lens ?eld Road, Cambridge, CB2 1EW, United Kingdom*","CC13|[4+6]|None|Nitrogen isotherms (at 77 K and 1 bar) for CC13   andCC13   (lower and higher crystallinity) polymorphs, apparent BETsurface area = 517, 946, and 1173 m2g-1,respectively.|2-Methyl-1,2-propanediamine (1.529 g,0.0173 mol) was dissolved in dichloromethane (450 mL) in a 2 Lround-bottomed ?ask cooled in an ice bath. 1,3,5-Triformylbenzene(1.875 g, 0.0116 mol) was dissolved in dichloromethane (575 mL) in apressure-equalized dropping funnel and added dropwise over 24 h tothe 2-dimethyl-1,2-propanediamine solution with stirring. The reactionmixture was allowed to stir for a further 72 h at room temperatureupon complete addition, and the reaction was monitored by1H NMR.The solution was ?ltered and concentrated to   30 mL using a rotaryevaporator at 20   C. The solids were then isolated by precipitation byaddition to excess petroleum ether to give the product as a whitepowder. The product was vacuum-dried overnight to yield CC13   as awhite powder in 81% yield (2.257 g). CC13   was prepared bydissolving CC13 in dichloromethane in a small vial that was placed ina larger vial containing 1,4-dioxane to allow slow di ?usion.|2-Methyl-1,2-propanediamine|None|1,3,5-Triformylbenzene|None","| CC13                                 | [4 + 6]  | None                | ""This more careful crystallization procedure gave much more uniform, octahedral crystals (Figure 13b, c); however, these more regular crystals showed a higher level of microporosity (Figure 12, red points). Hence, crystal defects cannot be responsible here for the extra porosity in CC13 汕. The highly crystalline sample had an apparent BET surface area of 1173 m2g-1, with an N2 uptake of 15.3 mmol g-1 at P/P0= 0.99 (11.6 mmol g-1 at P/P0= 0.1), corresponding to 11.1 N2 per cage molecule.""                                                                                      | ""2-Methyl-1,2-propanediamine (1.529 g, 0.0173 mol) was dissolved in dichloromethane (450 mL) in a 2 L round-bottomed flask cooled in an ice bath. 1,3,5-Triformylbenzene (1.875 g, 0.0116 mol) was dissolved in dichloromethane (575 mL) in a pressure-equalized dropping funnel and added dropwise over 24 h to the 2-dimethyl-1,2-propanediamine solution with stirring. The reaction mixture was allowed to stir for a further 72 h at room temperature upon complete addition, and the reaction was monitored by 1H NMR.""                      | 1,3,5-Triformylbenzene | None                          | None                       | None                           |",0.869,1,0.883,0.815,1,1,0.916,1
9,E:\liuming\cage-GPT\CSV_file\level1\2014---Jacs----Template Synthes.csv,Template Synthesis of Gold Nanoparticles with an Organic Molecular Cage,"Ryan McCa ?rey,?Hai Long,?Yinghua Jin,?Aric Sanders,  Wounjhang Park,  and Wei Zhang *","aDepartment of Chemistry and Biochemistry, University of Colorado Boulder, CO 80309, USA   bNational Renewable Energy Laboratory, Golden, Colorado 80401, USA  c National Institute of Standards and Technology, Boulder, Colorado 80305, USA dDepartment of Electrical, Computer and Energy Engineering, University of Colorado, Boulder, CO 80309, USA","Cage 1|[2+3]|None|None|To a s chlenk tube was added compound 3 (30 mg, 50  μmol) and  compound 4 (60 mg, 74 μmol)  in CHCl 3 (17 mL) under nitrogen atmosphere.  TFA (0.57  μL, 7.43  μmol) was then added drop  wise and the reaction  was stirred at rt  for 18  h.  The reaction mixture was cooled at 0 °C, and DIBAL  (1.50  mL, 1.0 M solution in CH 2Cl2, 1.50 mmol) was added. The clear solution was stirred at 0 °C for 1  h. Saturated NaHCO 3 was added and  the mixture was stirred at rt  for 30 min.  The product was extracted with CHCl 3 (3 x 10 mL) . The combined organic extracts were  dried  over anhydrous Na 2SO 4, and conce ntrate d. The residue was  purified by flash column chromatography using dichloromethane  as the eluent to afford the product as a  white solid (20 mg, 23  %)|compound 3|None|compound 4|Using (2,6-diethynyl -4-(hexadecyloxy)benzyl)(ethyl)sulfane (200 mg, 0.45 mmol),  3-bromo -5-iodo-benzaldyhyde (310  mg, 1.00  mmol), Pd(PPh 3)2Cl2 (19 mg, 0.027 mmol) , CuI ( 2.0 mg, 0.009 S6  mmol ), triethylamine ( 5 mL), and THF (5  ml), the compound  4 was obtained as a pale yellow solid (320  mg, 88  %)","| Cage 1 | None | None | None | To a schlenk tube was added compound 3 (30 mg, 50 米mol) and compound 4 (60 mg, 74 米mol) in CHCl3 (17 mL) under nitrogen atmosphere. TFA (0.57 米L, 7.43 米mol) was then added dropwise and the reaction was stirred at rt for 18 h. The reaction mixture was cooled at 0 ～C, and DIBAL (1.50 mL, 1.0 M solution in CH2Cl2, 1.50 mmol) was added. The clear solution was stirred at 0 ～C for 1 h. Saturated NaHCO3 was added and the mixture was stirred at rt for 30 min. The product was extracted with CHCl3 (3 x 10 mL). The combined organic extracts were dried over anhydrous Na2SO4, and concentrated. The residue was purified by flash column chromatography using dichloromethane as the eluent to afford the product as a white solid (20 mg, 23%) | compound 3 | None | compound 4 | The general procedure for Sonogashira cross coupling was followed. Using (2,6-diethynyl-4-(hexadecyloxy)benzyl)(ethyl)sulfane (200 mg, 0.45 mmol), 3-bromo-5-iodo-benzaldyhyde (310 mg, 1.00 mmol), Pd(PPh3)2Cl2 (19 mg, 0.027 mmol), CuI (2.0 mg, 0.009 mmol), triethylamine (5 mL), and THF (5 ml), the compound 4 was obtained as a pale yellow solid (320 mg, 88%)|",0.967,1,0.967,1,1,0.606,1,0.98
